cr,f,popsize,megacity,mean,mad
0.96,0.43999997,64,inf,inf,inf
0.96,0.48,64,inf,inf,inf
0.96,0.52,64,inf,inf,inf
0.96,0.56,64,inf,inf,inf
0.96,0.6,64,inf,inf,inf
0.96,0.64,64,inf,inf,inf
0.96,0.68,64,inf,inf,inf
0.96,0.72,64,inf,inf,inf
0.96,0.76,64,inf,inf,inf
0.96,0.8,64,inf,inf,inf
0.96,0.84,64,inf,inf,inf
0.96,0.88,64,inf,inf,inf
0.96,0.92,64,inf,inf,inf
0.96,0.96,64,inf,inf,inf
