popsize,restart_tolerance,self_instead_neighbour,sigma,shubert,mean,mad
64,0.00000001,0.39999998,0.32,inf,inf,inf
64,0.00000001,0.39999998,0.35999998,inf,inf,inf
64,0.00000001,0.39999998,0.39999998,inf,inf,inf
64,0.00000001,0.39999998,0.43999997,inf,inf,inf
64,0.00000001,0.39999998,0.48,inf,inf,inf
64,0.00000001,0.39999998,0.52,inf,inf,inf
64,0.00000001,0.39999998,0.56,inf,inf,inf
64,0.00000001,0.39999998,0.6,inf,inf,inf
64,0.00000001,0.39999998,0.64,inf,inf,inf
64,0.00000001,0.39999998,0.68,inf,inf,inf
64,0.00000001,0.39999998,0.72,inf,inf,inf
64,0.00000001,0.39999998,0.76,inf,inf,inf
64,0.00000001,0.39999998,0.8,inf,inf,inf
64,0.00000001,0.39999998,0.84,inf,inf,inf
64,0.00000001,0.39999998,0.88,inf,inf,inf
64,0.00000001,0.39999998,0.92,inf,inf,inf
64,0.00000001,0.39999998,0.96,inf,inf,inf
64,0.00000001,0.44,0.23999998,inf,inf,inf
64,0.00000001,0.44,0.28,inf,inf,inf
64,0.00000001,0.44,0.32,inf,inf,inf
64,0.00000001,0.44,0.35999998,inf,inf,inf
64,0.00000001,0.44,0.39999998,inf,inf,inf
64,0.00000001,0.44,0.43999997,inf,inf,inf
64,0.00000001,0.44,0.48,inf,inf,inf
64,0.00000001,0.44,0.52,inf,inf,inf
64,0.00000001,0.44,0.56,inf,inf,inf
64,0.00000001,0.44,0.6,inf,inf,inf
64,0.00000001,0.44,0.64,inf,inf,inf
64,0.00000001,0.44,0.68,inf,inf,inf
64,0.00000001,0.44,0.72,inf,inf,inf
64,0.00000001,0.44,0.76,inf,inf,inf
64,0.00000001,0.44,0.8,inf,inf,inf
64,0.00000001,0.44,0.84,inf,inf,inf
64,0.00000001,0.44,0.88,inf,inf,inf
64,0.00000001,0.44,0.92,inf,inf,inf
64,0.00000001,0.44,0.96,inf,inf,inf
64,0.00000001,0.48,0.16,inf,inf,inf
64,0.00000001,0.48,0.19999999,inf,inf,inf
64,0.00000001,0.48,0.23999998,inf,inf,inf
64,0.00000001,0.48,0.28,inf,inf,inf
64,0.00000001,0.48,0.32,inf,inf,inf
64,0.00000001,0.48,0.35999998,inf,inf,inf
64,0.00000001,0.48,0.39999998,inf,inf,inf
64,0.00000001,0.48,0.43999997,inf,inf,inf
64,0.00000001,0.48,0.48,inf,inf,inf
64,0.00000001,0.48,0.52,inf,inf,inf
64,0.00000001,0.48,0.56,inf,inf,inf
64,0.00000001,0.48,0.6,inf,inf,inf
64,0.00000001,0.48,0.64,inf,inf,inf
64,0.00000001,0.48,0.68,inf,inf,inf
64,0.00000001,0.48,0.72,inf,inf,inf
64,0.00000001,0.48,0.76,inf,inf,inf
64,0.00000001,0.48,0.8,inf,inf,inf
64,0.00000001,0.48,0.84,inf,inf,inf
64,0.00000001,0.48,0.88,inf,inf,inf
64,0.00000001,0.48,0.92,inf,inf,inf
64,0.00000001,0.48,0.96,inf,inf,inf
64,0.00000001,0.52,0.16,inf,inf,inf
64,0.00000001,0.52,0.19999999,inf,inf,inf
64,0.00000001,0.52,0.23999998,inf,inf,inf
64,0.00000001,0.52,0.28,inf,inf,inf
64,0.00000001,0.52,0.32,inf,inf,inf
64,0.00000001,0.52,0.35999998,inf,inf,inf
64,0.00000001,0.52,0.39999998,inf,inf,inf
64,0.00000001,0.52,0.43999997,inf,inf,inf
64,0.00000001,0.52,0.48,inf,inf,inf
64,0.00000001,0.52,0.52,inf,inf,inf
64,0.00000001,0.52,0.56,inf,inf,inf
64,0.00000001,0.52,0.6,inf,inf,inf
64,0.00000001,0.52,0.64,inf,inf,inf
64,0.00000001,0.52,0.68,inf,inf,inf
64,0.00000001,0.52,0.72,inf,inf,inf
64,0.00000001,0.52,0.76,inf,inf,inf
64,0.00000001,0.52,0.8,inf,inf,inf
64,0.00000001,0.52,0.84,inf,inf,inf
64,0.00000001,0.52,0.88,inf,inf,inf
64,0.00000001,0.52,0.92,inf,inf,inf
64,0.00000001,0.52,0.96,inf,inf,inf
64,0.00000001,0.56,0.16,inf,inf,inf
64,0.00000001,0.56,0.19999999,inf,inf,inf
64,0.00000001,0.56,0.23999998,inf,inf,inf
64,0.00000001,0.56,0.28,inf,inf,inf
64,0.00000001,0.56,0.32,inf,inf,inf
64,0.00000001,0.56,0.35999998,inf,inf,inf
64,0.00000001,0.56,0.39999998,inf,inf,inf
64,0.00000001,0.56,0.43999997,inf,inf,inf
64,0.00000001,0.56,0.48,inf,inf,inf
64,0.00000001,0.56,0.52,inf,inf,inf
64,0.00000001,0.56,0.56,inf,inf,inf
64,0.00000001,0.56,0.6,inf,inf,inf
64,0.00000001,0.56,0.64,inf,inf,inf
64,0.00000001,0.56,0.68,inf,inf,inf
64,0.00000001,0.56,0.72,inf,inf,inf
64,0.00000001,0.56,0.76,inf,inf,inf
64,0.00000001,0.56,0.8,inf,inf,inf
64,0.00000001,0.56,0.84,inf,inf,inf
64,0.00000001,0.56,0.88,inf,inf,inf
64,0.00000001,0.56,0.92,inf,inf,inf
64,0.00000001,0.56,0.96,inf,inf,inf
64,0.00000001,0.59999996,0.16,inf,inf,inf
64,0.00000001,0.59999996,0.19999999,inf,inf,inf
64,0.00000001,0.59999996,0.23999998,inf,inf,inf
64,0.00000001,0.59999996,0.28,inf,inf,inf
64,0.00000001,0.59999996,0.32,inf,inf,inf
64,0.00000001,0.59999996,0.35999998,inf,inf,inf
64,0.00000001,0.59999996,0.39999998,inf,inf,inf
64,0.00000001,0.59999996,0.43999997,inf,inf,inf
64,0.00000001,0.59999996,0.48,inf,inf,inf
64,0.00000001,0.59999996,0.52,inf,inf,inf
64,0.00000001,0.59999996,0.56,inf,inf,inf
64,0.00000001,0.59999996,0.6,inf,inf,inf
64,0.00000001,0.59999996,0.64,inf,inf,inf
64,0.00000001,0.59999996,0.68,inf,inf,inf
64,0.00000001,0.59999996,0.72,inf,inf,inf
64,0.00000001,0.59999996,0.76,inf,inf,inf
64,0.00000001,0.59999996,0.8,inf,inf,inf
64,0.00000001,0.59999996,0.84,inf,inf,inf
64,0.00000001,0.59999996,0.88,inf,inf,inf
64,0.00000001,0.59999996,0.92,inf,inf,inf
64,0.00000001,0.59999996,0.96,inf,inf,inf
64,0.00000001,0.64,0.12,inf,inf,inf
64,0.00000001,0.64,0.16,inf,inf,inf
64,0.00000001,0.64,0.19999999,inf,inf,inf
64,0.00000001,0.64,0.23999998,inf,inf,inf
64,0.00000001,0.64,0.28,inf,inf,inf
64,0.00000001,0.64,0.32,inf,inf,inf
64,0.00000001,0.64,0.35999998,inf,inf,inf
64,0.00000001,0.64,0.39999998,inf,inf,inf
64,0.00000001,0.64,0.43999997,inf,inf,inf
64,0.00000001,0.64,0.48,inf,inf,inf
64,0.00000001,0.64,0.52,inf,inf,inf
64,0.00000001,0.64,0.56,inf,inf,inf
64,0.00000001,0.64,0.6,inf,inf,inf
64,0.00000001,0.64,0.64,inf,inf,inf
64,0.00000001,0.64,0.68,inf,inf,inf
64,0.00000001,0.64,0.72,inf,inf,inf
64,0.00000001,0.64,0.76,inf,inf,inf
64,0.00000001,0.64,0.8,inf,inf,inf
64,0.00000001,0.64,0.84,inf,inf,inf
64,0.00000001,0.64,0.88,inf,inf,inf
64,0.00000001,0.64,0.92,inf,inf,inf
64,0.00000001,0.64,0.96,inf,inf,inf
64,0.00000001,0.68,0.12,inf,inf,inf
64,0.00000001,0.68,0.16,inf,inf,inf
64,0.00000001,0.68,0.19999999,inf,inf,inf
64,0.00000001,0.68,0.23999998,inf,inf,inf
64,0.00000001,0.68,0.28,inf,inf,inf
64,0.00000001,0.68,0.32,inf,inf,inf
64,0.00000001,0.68,0.35999998,inf,inf,inf
64,0.00000001,0.68,0.39999998,inf,inf,inf
64,0.00000001,0.68,0.43999997,inf,inf,inf
64,0.00000001,0.68,0.48,inf,inf,inf
64,0.00000001,0.68,0.52,inf,inf,inf
64,0.00000001,0.68,0.56,inf,inf,inf
64,0.00000001,0.68,0.6,inf,inf,inf
64,0.00000001,0.68,0.64,inf,inf,inf
64,0.00000001,0.68,0.68,inf,inf,inf
64,0.00000001,0.68,0.72,inf,inf,inf
64,0.00000001,0.68,0.76,inf,inf,inf
64,0.00000001,0.68,0.8,inf,inf,inf
64,0.00000001,0.68,0.84,inf,inf,inf
64,0.00000001,0.68,0.88,inf,inf,inf
64,0.00000001,0.68,0.92,inf,inf,inf
64,0.00000001,0.68,0.96,inf,inf,inf
64,0.00000001,0.71999997,0.16,inf,inf,inf
64,0.00000001,0.71999997,0.19999999,inf,inf,inf
64,0.00000001,0.71999997,0.23999998,inf,inf,inf
64,0.00000001,0.71999997,0.28,inf,inf,inf
64,0.00000001,0.71999997,0.32,inf,inf,inf
64,0.00000001,0.71999997,0.35999998,inf,inf,inf
64,0.00000001,0.71999997,0.39999998,inf,inf,inf
64,0.00000001,0.71999997,0.43999997,inf,inf,inf
64,0.00000001,0.71999997,0.48,inf,inf,inf
64,0.00000001,0.71999997,0.52,inf,inf,inf
64,0.00000001,0.71999997,0.56,inf,inf,inf
64,0.00000001,0.71999997,0.6,inf,inf,inf
64,0.00000001,0.71999997,0.64,inf,inf,inf
64,0.00000001,0.71999997,0.68,inf,inf,inf
64,0.00000001,0.71999997,0.72,inf,inf,inf
64,0.00000001,0.71999997,0.76,inf,inf,inf
64,0.00000001,0.71999997,0.8,inf,inf,inf
